"Symbol","Name","Last Sale","Net Change","% Change","Market Cap","Country","IPO Year","Volume","Sector","Industry","Exchange","CIK"
"A","Agilent Technologies Inc. Common Stock","$117.90 ",0.84,"0.72%",35217679802,"United States",1999,904457,"Industrials","Electrical Products","^NYA",1090872
"AACI","Armada Acquisition Corp. I Common Stock","$9.88 ",0.005,"0.05%",204609860,"United States",2021,673,"Industrials","Consumer Electronics/Appliances","^IXIC",877813
"AACIU","Armada Acquisition Corp. I Unit","$9.93 ",0,"0.00%",0,"United States",2021,1,"Industrials","Consumer Electronics/Appliances","^IXIC",NULL
"AACIW","Armada Acquisition Corp. I Warrant","$0.28 ",0.0998,"55.44%",0,"United States",2021,101,"Industrials","Consumer Electronics/Appliances","^IXIC",NULL
"AADI","Aadi Bioscience Inc. Common Stock","$12.98 ",1.06,"8.89%",271826810,"United States",NULL,285677,"Health Care","Biotechnology: Pharmaceutical Preparations","^IXIC",1422142
"AAIC","Arlington Asset Investment Corp Class A (new)","$3.22 ",-0.02,"-0.62%",95513289,"United States",NULL,25721,"Real Estate","Real Estate Investment Trusts","^NYA",NULL
"AAIC^B","Arlington Asset Investment Corp 7.00%","$21.00 ",0.6999,"3.45%",NULL,"United States",NULL,250,NULL,NULL,"^NYA",NULL
"AAIC^C","Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock","$22.31 ",0,"0.00%",NULL,"United States",NULL,100,NULL,NULL,"^NYA",NULL
"AAIN","Arlington Asset Investment Corp 6.000% Senior Notes Due 2026","$23.84 ",-0.275,"-1.14%",0,"United States",NULL,800,NULL,NULL,"^NYA",NULL
"AAL","American Airlines Group Inc. Common Stock","$13.03 ",-0.47,"-3.48%",8463178469,"United States",NULL,34304149,"Consumer Discretionary","Air Freight/Delivery Services","^IXIC",NULL
"AAM^A","Apollo Asset Management Inc. 6.375% Series A Preferred Stock","$24.35 ",0.44,"1.84%",NULL,"United States",NULL,30297,NULL,NULL,"^NYA",NULL
